,Date,Open,High,Low,Close,Volume,SP_Close,NYSE_Close,NASDAQ_Close,RUSS_Close,FTSE_Close,N225_Close,GOLD_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close,Signal
0,11/11/09,10322.908616810315,10420.791169554626,10322.023499235462,10355.11429311175,180677011.47248104,1109.946302,7230.302797,2192.802315,612.6576841,5296.638602,10004.35945,1100.415657,6.81133348,0.669405012,0.602074633,90.46578191,2
1,11/12/09,10349.756164397742,10407.142019488225,10280.625362891948,10307.485979698735,174407299.21041816,1103.784704,7173.741974,2186.750996,600.5520356,5303.16563,9999.976172,1088.195818,6.814161642,0.672025033,0.602533244,90.5330631,1
2,11/13/09,10301.765402998895,10397.155596292123,10259.43615527796,10334.522814581425,190055873.80094495,1105.426055,7205.054258,2202.85625,605.0234831,5328.179056,9927.06774,1100.491294,6.810900574,0.668974627,0.599056663,89.90455199,1
3,11/16/09,10334.439904990926,10482.65586632311,10288.335172542236,10426.45676323127,241677223.95588076,1117.327365,7305.766099,2226.232271,620.7484942,5436.028086,9930.816037,1116.412658,6.806737091,0.666466102,0.591690594,88.9576599,2
4,11/17/09,10415.529785469014,10423.283670661312,10382.020666123466,10421.306209889086,164543058.39589846,1114.515948,7306.220579,2210.74502,617.1551653,5446.52608,9915.040507,1123.217166,6.80472895,0.668865482,0.591422047,89.20491844,1
5,11/18/09,10425.704265327358,10434.090372741879,10350.495894100446,10423.426741097584,196133452.3755355,1117.856325,7319.827383,2218.704498,617.2849174,5434.196671,9637.114885,1125.905188,6.801676129,0.663775803,0.593231214,89.02469772,2
6,11/19/09,10436.988293658476,10468.033135026075,10275.19526993046,10370.631207675717,196575200.9368458,1108.429552,7223.766834,2200.639393,602.7838992,5338.603814,9482.274063,1117.857924,6.799889783,0.665168666,0.597908928,88.36435477,2
7,11/20/09,10375.719887283976,10386.42496326866,10349.576761740997,10385.84759545792,216641447.0634505,1107.721876,7192.79648,2214.646618,603.7909864,5356.260383,9311.421468,1126.994042,6.799083245,0.668542127,0.603199889,88.10163468,1
8,11/23/09,10404.999192286188,10593.11946968743,10385.524203086723,10530.747998291034,165255439.9806705,1122.401924,7296.151296,2241.375259,614.6159046,5453.825617,,1142.474921,6.806873608,0.665269884,0.597603992,88.0685599,1
9,11/24/09,10531.64247692541,10560.840306340815,10499.546438589157,10582.988728702718,169666688.32064393,1128.30501,7319.412301,2248.318818,616.7134964,5436.408179,9236.672863,1148.670357,6.797169698,0.663750845,0.598986705,87.81477977,2
10,11/25/09,10576.417408310977,10597.410664906552,10536.201644432453,10527.225160752298,146874346.57650936,1122.188454,7331.564838,2212.233524,605.6672945,5478.218298,9268.280796,1172.688782,6.79246333,0.656229371,0.594547838,86.21431139,2
11,11/27/09,10525.060737217575,10532.52420186981,10296.12885558783,10396.257599884657,140829716.20909014,1105.657511,7186.603961,2180.302036,590.2984588,5325.605158,8814.974175,1162.408426,6.794881386,0.66024358,0.601365295,85.27149302,1
12,11/30/09,10396.130529160913,10490.86086410974,10361.665964928246,10483.14752463012,249164063.26530972,1114.702376,7227.26038,2206.533807,593.7160683,5277.305379,9088.793298,1163.476536,6.789726599,0.65891061,0.602695851,85.12233853,1
13,12/1/09,10521.710573428287,10662.224153175699,10499.264415570122,10611.683173147165,179374342.14977187,1127.483261,7338.861597,2231.299765,597.9716283,5386.801918,9209.053278,1181.000091,6.789806557,0.655210226,0.597428329,85.1860522,2
14,12/2/09,10603.928103308766,10648.118340869369,10496.293366433336,10560.53176544464,196286298.76774442,1122.841646,7309.481898,2221.585423,597.5453468,5405.37414,9245.908908,1202.559923,6.783834164,0.654754243,0.596651834,86.08620712,2
15,12/3/09,10574.427310922752,10603.190036309828,10404.902627168174,10423.932602098026,292160508.59510165,1107.778573,7208.732903,2193.129517,585.6716062,5360.973831,9620.604056,1193.213278,6.786727241,0.655964991,0.5999535,86.55771032,1
16,12/4/09,10424.105646469456,10594.494848173486,10338.054924644934,10449.644346232599,485656369.59554434,1115.315528,7252.646409,2215.130407,605.1484898,5379.518011,9719.207959,1150.613264,6.789729313,0.6667392,0.603231663,88.85639323,2
17,12/7/09,10457.231618138338,10488.711098726828,10383.841905609965,10398.616223169298,225472252.7296745,1106.398852,7200.588384,2200.277362,602.574882,5393.528571,9801.040775,1149.37552,6.791076065,0.669642469,0.605963629,87.67380626,2
18,12/8/09,10380.153645584109,10330.79731386627,10198.80401716375,10219.824607410112,213364151.80005962,1089.975346,7069.900407,2179.283231,591.8399152,5306.552006,9719.102827,1118.339491,6.798112689,0.673965995,0.61297256,86.39025776,1
19,12/9/09,10210.582096225986,10266.059810546216,10153.994026017222,10261.298560486694,189543523.2033354,1097.131349,7100.50648,2205.288313,596.6663074,5289.481261,9620.308637,1117.264155,6.80353942,0.676578089,0.613281385,86.24719494,2
20,12/10/09,10264.764136951972,10324.12648606636,10241.50883788088,10237.927834501745,184450601.55658904,1093.750171,7091.705559,2195.094967,590.4190343,5355.678769,9466.210545,1124.74483,6.800421407,0.674336957,0.612548052,86.06444024,1
21,12/11/09,10181.584561918771,10294.503316522312,10192.852999014125,10307.004514448625,158961447.0634505,1099.134439,7128.670508,2197.499535,597.1084189,5383.493871,9777.567597,1109.467799,6.794802646,0.680097234,0.614425936,86.97289601,1
22,12/14/09,10315.518470727979,10387.471386464764,10389.000595295665,10438.452234678814,138746878.6703562,1116.731716,7230.294121,2242.195542,610.9049572,5467.137919,9734.475917,1123.668711,6.793832625,0.679413089,0.61280365,86.70908896,1
23,12/15/09,10474.448811586764,10449.270895096903,10469.10042707964,10442.132203691654,156236621.91958153,1118.251371,7232.964882,2250.21977,616.1993486,5464.432936,9701.016447,1122.774529,6.786196279,0.687764521,0.613895017,87.94084836,1
24,12/16/09,10446.920042219788,10474.756043392608,10456.882605034487,10498.356090367173,191729038.9182535,1127.992987,7310.400128,2278.861563,622.526812,5517.611397,9750.81662,1141.045602,6.782057967,0.684539371,0.609297475,87.77988319,2
25,12/17/09,10495.054646026781,10528.984896867598,10437.29141866884,10421.343080185676,183199401.91072807,1121.52906,7237.34455,2265.411921,620.3929431,5362.908113,9815.859416,1099.976585,6.788433993,0.691659927,0.614344505,87.54574772,1
