Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,Signal
2009-11-11,10247.42,10341.97,10246.14,10291.26,166920000,-9736854.84712221,166920000,-0.058332463737851725,0.0,0.0,0.0,-67984064.32659392,1000.0,0.0,10291.26,10291.26,10291.26,0.0,0.0,10293.123333333337,10293.123333333337,10197.293333333333,0.0,0.0,10291.26,10291.26,1.0,1.0,0.0,0.0,0.0,10291.26,10291.26,0.0,0.0,0.0,1.0,1.0,0.0,-40.241474549684106,1.0,0.0,7069.822873608929,-407.22245985911184,-407.22245985911184,0.0,10294.055,10294.055,17251.2242587441,17081.913467806058,4.0,4.0,0.0,50.0,50.0,-100.0,0.6341582891320459,47.08337681310741,47.08337681310741,-52.91662318689258,0.0,10291.26,0.0,-40.7222459859112,0.0,0.0,2.0
2009-11-12,10289.82,10321.64,10171.24,10197.47,183810000,-129433340.21946354,-16890000,-0.3690398318349257,-17239539900.00016,-3896.031771938388,-3896.031771938388,-69648736.18669797,1000.0,0.0,10338.155,10150.575,10244.365,0.0,0.0,10261.62,10261.62,10138.505,0.0,0.0,10197.47,10291.26,0.0,1.0,7.481823361822535,1.4963646723645068,5.985458689458027,10276.83076923077,10284.312592592592,0.0,0.0,0.0,1.0,1.0,0.0,-0.0017799918936075149,2.0890822423193702,-66.66666666666667,7116.717873608928,-409.92361625248924,-408.57303805580057,-1.350578196688673,10256.605,10256.605,17251.2242587441,17081.913467806058,4.0,8.0,-4.0,0.0,50.0,-100.0,0.9820596390457556,15.363439348678984,31.223408080893197,-84.63656065132102,0.0,10197.47,0.0,-0.9113558495266959,-0.9155341021559238,-0.9113558495266959,1.0
2009-11-13,10197.85,10305.69,10192.03,10270.47,167280000,-65823964.88953573,150390000,-0.12707083818755568,-13032257057.142996,164.42922046874182,-1865.8012757348226,-477666.16079184576,1007.1586383681444,0.0,10333.503773084592,10172.62956024874,10253.066666666666,0.0,0.0,10259.767777777779,10259.767777777779,10139.804444444446,0.0,0.0,10197.47,10291.26,0.0,0.0,7.435026014400138,2.6840969407716333,4.750929073628504,10275.852189349112,10283.287215363513,0.0,0.0,0.0,1.0,1.0,0.0,-0.003287107992950873,3.1699685820733463,-11.10592938041574,7108.016206942262,-409.42239943727,-408.85615851629035,-0.5662409209796238,10256.605,10256.605,17251.2242587441,17081.913467806058,4.0,8.0,-4.0,45.59914691224149,50.0,-99.56687850150526,2.029949067179854,58.12100978152628,40.18927531443756,-41.87899021847372,0.0,10270.47,0.0,0.7158638368144343,0.7133136947805596,-0.20201607966372487,1.0
2009-11-16,10267.53,10434.24,10267.45,10406.96,202570000,70481755.4773908,352960000,0.09781253362206943,-7220680434.694005,8397.135878955347,1555.1777758285668,3889562.657104714,1007.1586383681444,0.0,10441.922727066642,10141.157272933357,10291.54,0.0,0.0,10287.213333333337,10287.213333333337,10155.543333333337,0.0,0.0,10197.47,10406.96,1.0,0.0,-3.5744593833187537,1.4323856759535565,-5.00684505927231,10296.022621756942,10292.448162373625,0.0,0.0,0.0,1.0,1.0,0.0,-0.001949811703815721,4.3224607778797965,124.40381758202776,7069.54287360893,-407.20633183288015,-408.4437018454378,1.237370012557676,10302.74,10302.74,17251.2242587441,17081.913467806058,16.0,8.0,8.0,71.63907455104827,50.0,-98.75698032178221,3.833924477463611,89.62737642585527,54.37060851868685,-10.372623574144736,0.0,10406.96,0.0,1.3289557342555771,1.3202025825973962,1.1242549503170496,1.0
2009-11-17,10404.77,10438.17,10361.99,10437.42,158320000,225684401.84126583,511280000,0.2567805232008941,-5500236486.880554,2369.076743304693,1758.6525176975986,3155450.4425844946,1010.1064782872653,0.0,10498.794059558159,10142.637940441837,10320.716,0.0,0.0,10312.276000000002,10312.276000000002,10191.704000000002,1.0,0.0,10197.47,10437.42,1.0,0.0,-14.589247550949947,-1.771940969427145,-12.817306581522805,10317.776064563564,10303.186817012613,0.0,0.0,0.0,1.0,1.0,0.0,0.0018177020224952008,5.376514759742251,106.0687497266721,7040.366873608929,-405.52579149951447,-407.8601197762532,2.3343282767386317,10304.705,10304.705,17251.2242587441,17081.913467806058,20.0,8.0,12.0,74.565098471006,50.0,-98.12963749654725,4.785244005038051,99.71902746038288,82.48913788925479,-0.28097253961712776,0.0,10437.42,0.0,0.29268873907462023,0.29226123954355643,1.420234257029751,2.0
2009-11-18,10426.27,10432.66,10360.1,10426.31,166340000,362910316.94600487,344940000,0.34720285957866603,-4978493760.183347,-161.39954310447573,1374.6421055371836,286325.979156202,1010.1064782872653,0.0,10518.927823741837,10157.702176258159,10338.315,0.0,0.0,10327.956111111112,10327.956111111112,10215.386111111113,0.0,0.0,10197.47,10437.42,0.0,0.0,-22.166540302789144,-5.850860836099545,-16.3156794666896,10334.473593092249,10312.307052789458,0.0,0.0,0.0,1.0,1.0,0.0,0.006836818000772587,6.361172408187624,76.65099655909295,7022.767873608929,-404.5120874507452,-407.30211438866854,2.7900269379233578,10304.705,10304.705,17251.2242587441,17081.913467806058,20.0,8.0,12.0,71.6610138600968,50.0,-97.6780673091926,5.597137387475433,95.55688757352095,94.9677638199197,-4.4431124264790665,5.744333333333996,10426.31,0.0,-0.10644392963012894,-0.1065006214144404,1.3122785742464949,2.0
2009-11-19,10425.33,10425.33,10256.11,10332.44,196250000,343705140.2529431,148690000,0.2768488995102201,-6898992865.871411,-4799.380993630542,345.63825567589583,-1943933.930256275,1010.1064782872653,0.0,10504.741239674759,10170.210188896666,10337.475714285712,0.0,0.0,10329.385238095241,10329.385238095241,10208.722380952382,0.0,0.0,10197.47,10437.42,0.0,0.0,-20.362350404057,-8.753158749691035,-11.609191654365961,10334.16073261652,10313.798382212459,0.0,0.0,0.0,1.0,1.0,0.0,0.010683132381549696,7.44726381933118,9.579865782013195,7023.607159323216,-404.5604303865168,-406.910445245504,2.3500148589871515,10304.705,10304.705,17251.2242587441,17081.913467806058,20.0,8.0,12.0,52.910506264212884,50.0,-97.3339134537028,6.446031633133233,60.3903645150416,85.22209318298181,-39.6096354849584,22.037000000002077,10332.44,0.0,-0.9003185211258757,-0.9043958795819762,0.4001453660679166,2.0
2009-11-20,10327.91,10342.72,10271.68,10318.16,230430000,414806288.90159285,-81740000,0.2818130665400245,-6383499656.461233,-1033.3987762010154,148.63296540776568,-2085342.0232372952,1010.1064782872653,0.0,10492.04458142009,10178.07791857991,10335.06125,0.0,0.0,10327.06875,10327.06875,10212.60875,0.0,0.0,10197.47,10437.42,0.0,0.0,-17.577616433207368,-10.518050286394304,-7.059566146813066,10331.699081444744,10314.121465011538,0.0,0.0,0.0,1.0,1.0,0.0,0.01328616498225745,8.448261095528183,-19.824611003710245,7026.021623608929,-404.699503755574,-406.6340775592627,1.9345738036887496,10304.705,10304.705,17251.2242587441,17081.913467806058,20.0,8.0,12.0,50.73565565378194,50.0,-97.05805159229016,38.193341208895774,55.04064736073124,70.32929981643126,-44.95935263926876,35.97250000000167,10318.16,0.0,-0.13820549647518554,-0.13830108835701793,0.2613868467029379,1.0
2009-11-23,10320.13,10495.61,10320.05,10450.95,182350000,504381727.49808514,100610000,0.3048968593386117,-2012391634.1096056,9688.293282149794,1341.0905050005192,2028294.17335034,1023.1060866720708,0.0,10512.896345445279,10182.979210110276,10347.937777777775,0.0,0.0,10337.639259259258,10337.639259259258,10216.390370370369,0.0,0.0,10197.47,10450.95,1.0,0.0,-25.788464559373093,-13.57213314099006,-12.216331418383035,10350.045376607091,10324.25691204772,0.0,0.0,0.0,1.0,1.0,0.0,0.017437841560884397,9.547990567854225,97.42390990511652,7013.145095831151,-403.95781454923116,-406.3367150025925,2.378900453361325,10333.425,10333.425,17251.2242587441,17081.913467806058,36.0,8.0,28.0,65.10114768574505,50.0,-96.56774004121128,44.85369782495674,86.23177235872622,67.22092807816635,-13.768227641273775,37.952000000001135,10450.95,0.0,1.2869542631632092,1.2787433786341396,1.5517050390331244,2.0
2009-11-24,10451.25,10453.97,10359.58,10433.71,163750000,597836675.056088,-63140000,0.32883943799082954,-2128199972.093985,-60.81309923665763,1185.3234378630552,2076637.3302254744,1021.4183598209974,119.32599999999964,10521.253188711666,10191.776811288333,10356.515,0.0,0.0,10345.450666666668,10345.450666666668,10226.887666666666,0.0,0.0,10197.47,10450.95,0.0,0.0,-30.55230893674525,-16.968168300141098,-13.584140636604149,10362.91685712908,10332.364548192334,0.0,0.0,0.0,1.0,1.0,0.0,0.022085920211055838,10.588566027247179,78.33951779751192,7004.567873608929,-403.46376574567057,-405.9190823233213,2.4553165776507058,10333.425,10333.425,17251.2242587441,17081.913467806058,36.0,8.0,28.0,62.550924977285305,50.0,-96.15178484162277,45.85670869784536,80.91685420969841,74.06309130971863,-19.0831457903016,31.86250000000109,10433.71,0.0,-0.16496108009321775,-0.16509729069991153,1.3841842495476708,1.0
