Date,Close
11-11-09,1117.3
12-11-09,1103.6
13-11-09,1118.65
16-11-09,1139.3
17-11-09,1141.38
18-11-09,1145.6
19-11-09,1144.6
20-11-09,1150.6
23-11-09,1166
24-11-09,1169.41
25-11-09,1191.66
26-11-09,1193.06
27-11-09,1177.63
30-11-09,1179.63
01-12-09,1196.51
02-12-09,1215.85
03-12-09,1207.45
04-12-09,1161.43
07-12-09,1158.1
08-12-09,1128.4
09-12-09,1128.6
10-12-09,1131.03
11-12-09,1115.38
14-12-09,1126.78
15-12-09,1125.1
16-12-09,1137.9
17-12-09,1098.9
18-12-09,1113.2
21-12-09,1093.45
22-12-09,1083.9
23-12-09,1087.65
24-12-09,1105.5
25-12-09,1105.45
28-12-09,1107.1
29-12-09,1096.83
30-12-09,1092.9
31-12-09,1096.98
01-01-10,1097.35
04-01-10,1121.28
05-01-10,1118.05
06-01-10,1138.25
07-01-10,1131.75
08-01-10,1138.23
11-01-10,1151.85
12-01-10,1128.48
13-01-10,1138.18
14-01-10,1142.75
15-01-10,1130.93
18-01-10,1134.1
19-01-10,1138.35
20-01-10,1111.3
21-01-10,1094.05
22-01-10,1093.23
25-01-10,1098.4
26-01-10,1097.65
27-01-10,1087.95
28-01-10,1086.95
29-01-10,1081.2
01-02-10,1105.55
02-02-10,1114.45
03-02-10,1109.8
04-02-10,1063.53
05-02-10,1066.25
08-02-10,1062.85
09-02-10,1078.1
10-02-10,1072.1
11-02-10,1095.47
12-02-10,1097.1
15-02-10,1100.9
16-02-10,1119.4
17-02-10,1106.85
18-02-10,1109
19-02-10,1119.2
22-02-10,1114.28
23-02-10,1103.33
24-02-10,1097.63
25-02-10,1106.2
26-02-10,1117.59
01-03-10,1118.85
02-03-10,1134.65
03-03-10,1139.95
04-03-10,1132.1
05-03-10,1134.9
08-03-10,1123.63
09-03-10,1121.85
10-03-10,1108.5
11-03-10,1109.55
12-03-10,1101.85
15-03-10,1108.45
16-03-10,1127.78
17-03-10,1120.43
18-03-10,1127.4
19-03-10,1107.05
22-03-10,1102.2
23-03-10,1105.18
24-03-10,1086.7
25-03-10,1090.5
26-03-10,1107.25
29-03-10,1109.78
30-03-10,1103.55
31-03-10,1113.25
01-04-10,1126.78
02-04-10,1123.8
05-04-10,1131.85
06-04-10,1134.28
07-04-10,1149.4
08-04-10,1150.61
09-04-10,1161.75
12-04-10,1156.3
13-04-10,1150.68
14-04-10,1155.4
15-04-10,1159.26
16-04-10,1137.41
19-04-10,1135.75
20-04-10,1140.76
21-04-10,1146.78
22-04-10,1141.58
23-04-10,1157.73
26-04-10,1153.53
27-04-10,1167.95
28-04-10,1165.78
29-04-10,1167.03
30-04-10,1179.03
03-05-10,1182.23
04-05-10,1171.01
05-05-10,1175.08
06-05-10,1208.7
07-05-10,1208.4
10-05-10,1203.14
11-05-10,1232.7
12-05-10,1239
13-05-10,1232.65
14-05-10,1232.98
17-05-10,1222.3
18-05-10,1225.18
19-05-10,1193.73
20-05-10,1182.45
21-05-10,1177.08
24-05-10,1191.73
25-05-10,1204.35
26-05-10,1211.7
27-05-10,1212.63
28-05-10,1214.73
31-05-10,1216.3
01-06-10,1225.78
02-06-10,1223.55
03-06-10,1206.55
04-06-10,1220.03
07-06-10,1240.35
08-06-10,1236.58
09-06-10,1233.4
10-06-10,1216.53
11-06-10,1226.58
14-06-10,1221.15
15-06-10,1234.25
16-06-10,1229.1
17-06-10,1245.16
18-06-10,1256.8
21-06-10,1233.65
22-06-10,1239.9
23-06-10,1237.33
24-06-10,1243.35
25-06-10,1255.68
28-06-10,1238.94
29-06-10,1240.58
30-06-10,1242.38
01-07-10,1198.69
02-07-10,1211.65
05-07-10,1208.93
06-07-10,1192.6
07-07-10,1202.78
08-07-10,1198.25
09-07-10,1211.71
12-07-10,1196.85
13-07-10,1212.3
14-07-10,1208.47
15-07-10,1208.3
16-07-10,1193
19-07-10,1182.93
20-07-10,1192.2
21-07-10,1185
22-07-10,1194.98
23-07-10,1189.14
26-07-10,1183.5
27-07-10,1161.6
28-07-10,1163.1
29-07-10,1168.1
30-07-10,1181
02-08-10,1182.75
03-08-10,1186.25
04-08-10,1194.83
05-08-10,1194.96
06-08-10,1205.4
09-08-10,1201.23
10-08-10,1204.3
11-08-10,1198.15
12-08-10,1213.95
13-08-10,1215.43
16-08-10,1225.35
17-08-10,1224.83
18-08-10,1229.3
19-08-10,1231.96
20-08-10,1227.89
23-08-10,1226.15
24-08-10,1230.5
25-08-10,1240.15
26-08-10,1237.6
27-08-10,1237.83
30-08-10,1237
31-08-10,1247.4
01-09-10,1244.3
02-09-10,1251.06
03-09-10,1246.55
06-09-10,1249.95
07-09-10,1255.7
08-09-10,1254.95
09-09-10,1243.6
10-09-10,1245.98
13-09-10,1245.55
14-09-10,1268.33
15-09-10,1268.15
16-09-10,1275.25
17-09-10,1274.18
